C000000011;;20250115;1011.00;AUTO
C000000023;;20250115;1023.00;AUTO
C000000024;CLIENT 24;20240229;1024.00;SANTE
C000000035;;20250115;1035.00;AUTO
C000000036;CLIENT 36;20240229;1036.00;SANTE
C000000047;;20250115;1047.00;AUTO
C000000048;CLIENT 48;20240229;1048.00;SANTE
C000000059;;20250115;1059.00;AUTO
C000000060;CLIENT 60;20240229;1060.00;SANTE
C000000071;;20250115;1071.00;AUTO
C000000072;CLIENT 72;20240229;1072.00;SANTE
C000000083;;20250115;1083.00;AUTO
C000000084;CLIENT 84;20240229;1084.00;SANTE
C000000095;;20250115;1095.00;AUTO
C000000096;CLIENT 96;20240229;1096.00;SANTE
C000000107;;20250115;1107.00;AUTO
C000000108;CLIENT 108;20240229;1108.00;SANTE
C000000119;;20250115;1119.00;AUTO
C000000120;CLIENT 120;20240229;1120.00;SANTE
